apex_branch,manpower_with_sorter,manpower_without_sorter,per_day_dox_per_manpower_without_sorter,per_day_ndx_per_manpower_without_sorter
A01,18.0,20.0,169.6,280.75
A04,11.0,12.0,28.869565217391305,264.25
B10,28.0,34.0,215.0,350.52941176470586
C20,26.0,31.0,158.32258064516128,313.80645161290323
C42,8.0,8.0,273.8888888888889,231.75
E01,13.0,14.0,141.28571428571428,263.2857142857143
H13,28.0,33.0,216.6551724137931,337.969696969697
I01,9.0,9.0,194.55555555555554,132.77777777777777
J29,9.0,8.0,95.0,86.66666666666667
K16,12.0,14.0,288.3939393939394,252.35714285714286
K95,16.0,19.0,26.105263157894736,307.8636363636364
L04,7.0,8.0,276.125,204.75
M10,29.0,34.0,403.29411764705884,327.52941176470586
N05,63.0,77.0,316.6848484848485,353.3376623376623
O06,21.0,25.0,125.95238095238095,327.28
P01,19.0,23.0,252.08695652173913,288.3478260869565
R01,9.0,9.0,201.33333333333334,122.5
T02,9.0,9.0,57.875,91.44444444444444
U43,16.0,18.0,164.62962962962962,272.85714285714283
W53,9.0,9.0,158.22222222222223,137.7
X01,11.0,11.0,62.43478260869565,218.54545454545453
