apex_branch,manpower_with_sorter,manpower_without_sorter,per_day_dox_per_manpower_without_sorter,per_day_ndx_per_manpower_without_sorter
A01,13.0,15.0,168.45,269.8
A04,7.0,6.0,13.0,37.166666666666664
B10,24.0,28.0,162.1764705882353,333.39285714285717
C20,22.0,26.0,141.84615384615384,313.46153846153845
C42,7.0,8.0,153.875,178.0
E01,9.0,9.0,39.888888888888886,81.88888888888889
H13,25.0,29.0,156.3030303030303,327.7241379310345
I01,9.0,9.0,122.88888888888889,120.66666666666667
J29,9.0,8.0,82.375,72.625
K16,12.0,14.0,218.57142857142858,240.21428571428572
K95,12.0,14.0,16.571428571428573,250.21428571428572
L04,7.0,7.0,142.28571428571428,149.14285714285714
M10,22.0,25.0,322.9418604651163,272.32
N05,49.0,59.0,235.98701298701297,347.20338983050846
O06,17.0,21.0,111.4375,313.9047619047619
P01,15.0,17.0,190.76470588235293,259.47058823529414
R01,9.0,9.0,125.44444444444444,99.44444444444444
T02,9.0,8.0,51.77777777777778,79.125
U43,13.0,14.0,142.27777777777777,271.8888888888889
W53,9.0,8.0,125.625,88.25
X01,11.0,11.0,39.27272727272727,218.36363636363637
