apex_branch,shift_slots,manpower_with_sorter,manpower_without_sorter,per_day_dox_per_manpower_without_sorter,per_day_ndx_per_manpower_without_sorter
A01,12PM-8PM,18.0,20.0,168.45,280.75
A01,6AM-12PM,13.0,15.0,169.6,269.8
A01,8PM-6AM,28.0,34.0,197.91176470588235,326.1764705882353
A04,12PM-8PM,7.0,6.0,13.0,37.166666666666664
A04,6AM-12PM,11.0,12.0,88.0,264.25
A04,8PM-6AM,19.0,23.0,28.869565217391305,356.1304347826087
B10,12PM-8PM,28.0,34.0,162.1764705882353,350.52941176470586
B10,6AM-12PM,24.0,28.0,215.0,333.39285714285717
B10,8PM-6AM,51.0,62.0,240.24193548387098,361.7903225806452
C20,12PM-8PM,22.0,26.0,141.84615384615384,313.46153846153845
C20,6AM-12PM,26.0,31.0,158.32258064516128,313.80645161290323
C20,8PM-6AM,43.0,52.0,309.25,325.84615384615387
C42,12PM-8PM,9.0,9.0,273.8888888888889,252.44444444444446
C42,6AM-12PM,7.0,8.0,153.875,178.0
C42,8PM-6AM,8.0,8.0,284.5,231.75
E01,12PM-8PM,9.0,9.0,39.888888888888886,81.88888888888889
E01,6AM-12PM,13.0,14.0,141.28571428571428,263.2857142857143
E01,8PM-6AM,14.0,15.0,165.4,299.53333333333336
H13,12PM-8PM,28.0,33.0,156.3030303030303,337.969696969697
H13,6AM-12PM,25.0,29.0,216.6551724137931,327.7241379310345
H13,8PM-6AM,62.0,78.0,250.21794871794873,365.7692307692308
I01,12PM-8PM,9.0,9.0,194.55555555555554,132.77777777777777
I01,6AM-12PM,9.0,9.0,122.88888888888889,120.66666666666667
I01,8PM-6AM,11.0,11.0,224.1818181818182,205.9090909090909
J29,12PM-8PM,9.0,8.0,82.375,72.625
J29,6AM-12PM,8.0,8.0,106.625,112.25
J29,8PM-6AM,9.0,9.0,95.0,86.66666666666667
K16,12PM-8PM,12.0,14.0,218.57142857142858,252.35714285714286
K16,6AM-12PM,12.0,14.0,410.7142857142857,240.21428571428572
K16,8PM-6AM,26.0,33.0,288.3939393939394,376.09090909090907
K95,12PM-8PM,19.0,22.0,30.227272727272727,307.8636363636364
K95,6AM-12PM,12.0,14.0,16.571428571428573,250.21428571428572
K95,8PM-6AM,16.0,19.0,26.105263157894736,310.63157894736844
L04,12PM-8PM,7.0,7.0,142.28571428571428,149.14285714285714
L04,6AM-12PM,7.0,8.0,276.125,204.75
L04,8PM-6AM,15.0,17.0,336.0,291.94117647058823
M10,12PM-8PM,22.0,25.0,428.12,272.32
M10,6AM-12PM,29.0,34.0,403.29411764705884,327.52941176470586
M10,8PM-6AM,70.0,86.0,322.9418604651163,361.04651162790697
N05,12PM-8PM,63.0,77.0,235.98701298701297,353.3376623376623
N05,6AM-12PM,49.0,59.0,329.8813559322034,347.20338983050846
N05,8PM-6AM,132.0,165.0,316.6848484848485,379.57575757575756
O06,12PM-8PM,27.0,32.0,111.4375,341.625
O06,6AM-12PM,17.0,21.0,125.95238095238095,313.9047619047619
O06,8PM-6AM,21.0,25.0,182.96,327.28
P01,12PM-8PM,15.0,17.0,190.76470588235293,259.47058823529414
P01,6AM-12PM,19.0,23.0,252.08695652173913,288.3478260869565
P01,8PM-6AM,42.0,52.0,253.48076923076923,349.5
R01,12PM-8PM,9.0,9.0,201.33333333333334,122.88888888888889
R01,6AM-12PM,9.0,9.0,125.44444444444444,99.44444444444444
R01,8PM-6AM,8.0,8.0,329.5,122.5
T02,12PM-8PM,9.0,9.0,51.77777777777778,91.44444444444444
T02,6AM-12PM,10.0,10.0,111.7,182.6
T02,8PM-6AM,9.0,8.0,57.875,79.125
U43,12PM-8PM,16.0,18.0,142.27777777777777,271.8888888888889
U43,6AM-12PM,13.0,14.0,212.42857142857142,272.85714285714283
U43,8PM-6AM,23.0,27.0,164.62962962962962,306.6666666666667
W53,12PM-8PM,9.0,10.0,172.0,137.7
W53,6AM-12PM,9.0,9.0,158.22222222222223,143.33333333333334
W53,8PM-6AM,8.0,8.0,125.625,88.25
X01,12PM-8PM,11.0,11.0,84.72727272727273,218.36363636363637
X01,6AM-12PM,11.0,11.0,39.27272727272727,218.54545454545453
X01,8PM-6AM,20.0,23.0,62.43478260869565,255.56521739130434
