hub_code,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,sorter,at,manpower_with_sorter,manpower_without_sorter
A01,274112,449971,173780,550303,449971,1389834.582,275697.0,450367.0,276691.0,449373.0,450367.0,1443512.1,3,21,59.0,69.0
A04,38849,252151,107526,183474,252151,462473.355,40844.0,199191.0,13497.0,226538.0,199191.0,418023.801,0,21,37.0,41.0
B10,605513,1010865,305416,1310962,1010865,3093781.952,610280.0,1033374.0,463056.0,1180598.0,1033374.0,3018002.424,3,21,103.0,124.0
C20,566685,740187,229331,1077541,740187,2683999.5659999996,561486.0,751122.0,56104.0,1256504.0,751122.0,2797696.692,0,21,91.0,109.0
C42,127167,110481,0,237648,110481,201453.73599999998,128337.0,111344.0,236687.0,2994.0,111344.0,205361.558,0,21,24.0,25.0
E01,98636,168570,68306,198900,168570,412255.55000000005,65566.0,126004.0,55138.0,136432.0,126004.0,316254.257,0,21,36.0,38.0
H13,714334,1157363,216528,1655169,1157363,3427299.096,708847.0,1149901.0,382537.0,1476211.0,1149901.0,3357450.8989999997,3,21,115.0,140.0
I01,120457,113616,65463,168610,113616,190621.019,116398.0,102636.0,115427.0,103607.0,102636.0,184284.198,0,21,29.0,29.0
J29,54916,51618,47859,58675,51618,109173.14600000001,55132.0,51741.0,50463.0,56410.0,51741.0,110122.439,0,21,26.0,25.0
K16,448926,479965,262237,666654,479965,939347.932,449040.0,473005.0,345245.0,576800.0,473005.0,911807.101,0,21,50.0,61.0
K95,32000,341257,0,373257,341257,1690956.956,31872.0,342395.0,423.0,373844.0,342395.0,1694978.529,3,21,47.0,55.0
L04,160665,155112,0,315777,155112,464756.45700000005,91318.0,82662.0,348.0,173632.0,82662.0,337762.292,0,21,29.0,32.0
M10,2281184,2323356,1589896,3014644,2323356,5221661.528,2287780.0,2363688.0,1325328.0,3326140.0,2363688.0,5326314.556,6,42,242.0,290.0
N05,3977010,4956466,2662210,6271266,4956466,14408864.238,3961812.0,5034034.0,1583634.0,7412212.0,5034034.0,12479652.314,6,42,488.0,602.0
O06,226187,554363,85734,694816,554363,1602845.558,181760.0,474483.0,135776.0,520467.0,474483.0,1278854.487,3,21,65.0,78.0
P01,473162,665163,168859,969466,665163,2086053.931,470265.0,659019.0,211533.0,917751.0,659019.0,2123194.554,3,21,76.0,92.0
R01,124434,64047,71544,116937,64047,107469.803,124106.0,63481.0,95734.0,91853.0,63481.0,107624.382,0,21,26.0,26.0
T02,43248,46523,33634,56137,46523,168131.19199999998,41128.0,67637.0,30122.0,78643.0,67637.0,237098.83099999998,0,21,28.0,27.0
U43,196227,319632,85191,430668,319632,1251645.984,195696.0,312720.0,67322.0,441094.0,312720.0,1187939.398,3,21,52.0,59.0
W53,80076,69719,36468,113327,69719,124112.265,80307.0,68241.0,71115.0,77433.0,68241.0,124498.535,0,21,26.0,27.0
X01,61156,204696,24296,241556,204696,1141072.537,41530.0,147913.0,100359.0,89084.0,147913.0,604288.613,0,21,42.0,45.0
