region,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,at,manpower_with_sorter,manpower_without_sorter
AHMEDABAD,52160.166666666664,117020.33333333333,46884.333333333336,122296.16666666667,117020.33333333333,308717.98949999997,52756.833333333336,108259.66666666667,48364.666666666664,112651.83333333333,108259.66666666667,310255.98350000003,7.0,16.0,18.333333333333332
BANGALORE,201837.66666666666,336955.0,101805.33333333333,436987.3333333333,336955.0,1031260.6506666667,203426.66666666666,344458.0,154352.0,393532.6666666667,344458.0,1006000.8080000001,7.0,34.333333333333336,41.333333333333336
BHUBANESHWAR,26692.0,23239.666666666668,12156.0,37775.666666666664,23239.666666666668,41370.755,26769.0,22747.0,23705.0,25811.0,22747.0,41499.511666666665,7.0,8.666666666666666,9.0
CHENNAI,115642.0,141778.0,38221.833333333336,219198.16666666666,141778.0,480908.88366666663,114970.5,143744.33333333334,48798.5,209916.33333333334,143744.33333333334,500509.7083333333,7.0,19.166666666666668,22.333333333333332
COCHIN,75395.66666666667,184787.66666666666,28578.0,231605.33333333334,184787.66666666666,534281.8526666666,60586.666666666664,158161.0,45258.666666666664,173489.0,158161.0,426284.82899999997,7.0,21.666666666666668,26.0
COIMBATORE,32878.666666666664,56190.0,22768.666666666668,66300.0,56190.0,137418.5166666667,21855.333333333332,42001.333333333336,18379.333333333332,45477.333333333336,42001.333333333336,105418.08566666667,7.0,12.0,12.666666666666666
GGR REGIONAL OFFICE,53555.0,51704.0,0.0,105259.0,51704.0,154918.81900000002,30439.333333333332,27554.0,116.0,57877.333333333336,27554.0,112587.43066666667,7.0,9.666666666666666,10.666666666666666
GHAZIABAD RO,65409.0,106544.0,28397.0,143556.0,106544.0,417215.328,65232.0,104240.0,22440.666666666668,147031.33333333334,104240.0,395979.7993333333,7.0,17.333333333333332,19.666666666666668
GUWAHATI,20385.333333333332,68232.0,8098.666666666667,80518.66666666667,68232.0,380357.5123333333,13843.333333333334,49304.333333333336,33453.0,29694.666666666668,49304.333333333336,201429.53766666667,7.0,14.0,15.0
HHPT REGIONAL OFFICE,18305.333333333332,17206.0,15953.0,19558.333333333332,17206.0,36391.04866666667,18377.333333333332,17247.0,16821.0,18803.333333333332,17247.0,36707.479666666666,7.0,8.666666666666666,8.333333333333334
HYDERABAD,238111.33333333334,385787.6666666667,72176.0,551723.0,385787.6666666667,1142433.032,236282.33333333334,383300.3333333333,127512.33333333333,492070.3333333333,383300.3333333333,1119150.2996666667,7.0,38.333333333333336,46.666666666666664
INDORE REGIONAL OFFICE,40152.333333333336,37872.0,21821.0,56203.333333333336,37872.0,63540.33966666667,38799.333333333336,34212.0,38475.666666666664,34535.666666666664,34212.0,61428.066,7.0,9.666666666666666,9.666666666666666
KOLKATA,80154.33333333333,136870.33333333334,43706.166666666664,173318.5,136870.33333333334,438384.14800000004,80152.0,135900.0,57611.333333333336,158440.66666666666,135900.0,434464.27166666667,7.0,16.166666666666668,19.333333333333332
MUMBAI,380197.3333333333,387226.0,264982.6666666667,502440.6666666667,387226.0,870276.9213333334,381296.6666666667,393948.0,220888.0,554356.6666666666,393948.0,887719.0926666666,7.0,40.333333333333336,48.333333333333336
NAGPUR RO,41478.0,21349.0,23848.0,38979.0,21349.0,35823.26766666667,41368.666666666664,21160.333333333332,31911.333333333332,30617.666666666668,21160.333333333332,35874.794,7.0,8.666666666666666,8.666666666666666
NORTH DELHI RO,662835.0,826077.6666666666,443701.6666666667,1045211.0,826077.6666666666,2401477.373,660302.0,839005.6666666666,263939.0,1235368.6666666667,839005.6666666666,2079942.0523333333,7.0,81.33333333333333,100.33333333333333
PATNA,14416.0,15507.666666666666,11211.333333333334,18712.333333333332,15507.666666666666,56043.73066666666,13709.333333333334,22545.666666666668,10040.666666666666,26214.333333333332,22545.666666666668,79032.94366666666,7.0,9.333333333333334,9.0
PUNE,157720.66666666666,221721.0,56286.333333333336,323155.3333333333,221721.0,695351.3103333333,156755.0,219673.0,70511.0,305917.0,219673.0,707731.518,7.0,25.333333333333332,30.666666666666668
