region,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,manpower_with_sorter,manpower_without_sorter
AHMEDABAD,37867.0,109924.5,38433.5,89245.0,109924.5,308994.3455,35145.0,90209.5,39834.5,89769.5,90209.5,235381.9635,15.5,17.5
BANGALORE,150478.0,297943.0,113921.0,429695.0,297943.0,931536.038,125680.0,239255.0,153569.0,206199.0,239255.0,734303.566,28.0,34.0
BHUBANESHWAR,25111.0,17665.0,303.0,29334.0,17665.0,39108.42,25043.0,18911.0,26730.0,30860.0,18911.0,37987.575,9.0,9.0
CHENNAI,67036.0,84830.0,2.0,151258.0,84830.0,240034.93050000002,68211.0,78906.0,57532.0,95964.5,78906.0,255720.91999999998,15.5,17.5
COCHIN,89150.0,204544.0,31019.0,269640.0,204544.0,646411.231,66125.0,164779.0,60433.0,170471.0,164779.0,384419.401,21.0,25.0
COIMBATORE,33292.0,47232.0,33620.0,46790.0,47232.0,97938.189,8953.0,18402.0,16582.0,6049.0,18402.0,41819.674,13.0,14.0
GGR REGIONAL OFFICE,11004.0,15766.0,0.0,26287.0,15766.0,56943.517,24892.0,26080.0,107.0,50865.0,26080.0,139876.073,7.0,8.0
GHAZIABAD RO,64024.0,88777.0,16719.0,100104.0,88777.0,364682.779,69631.0,95495.0,27580.0,142253.0,95495.0,321320.868,16.0,18.0
GUWAHATI,23295.0,42262.0,8304.0,57253.0,42262.0,250441.453,15177.0,60047.0,33834.0,36120.0,60047.0,237939.803,11.0,11.0
HHPT REGIONAL OFFICE,17089.0,18106.0,13446.0,26902.0,18106.0,35492.772,20155.0,19491.0,18988.0,17522.0,19491.0,42522.764,9.0,8.0
HYDERABAD,122879.0,278818.0,70.0,401637.0,278818.0,903954.486,157058.0,237583.0,138594.0,295896.0,237583.0,750210.842,28.0,33.0
INDORE REGIONAL OFFICE,43754.0,29865.0,17068.0,56551.0,29865.0,49227.913,31031.0,24806.0,35915.0,21909.0,24806.0,57605.315,9.0,9.0
KOLKATA,46540.5,112738.0,5384.0,151791.5,112738.0,377279.315,45057.0,97797.5,52635.5,112993.0,97797.5,489422.259,14.0,16.5
MUMBAI,342787.0,278380.0,278329.0,342838.0,278380.0,590461.01,267556.0,269129.0,201818.0,325616.0,269129.0,613053.081,29.0,34.0
NAGPUR RO,45292.0,24476.0,25477.0,44344.0,24476.0,42054.448,37818.0,22367.0,33974.0,33166.0,22367.0,33147.899,9.0,9.0
NORTH DELHI RO,486559.0,680168.0,378682.0,870500.0,680168.0,2428230.281,356932.0,512115.0,254683.0,711769.0,512115.0,1403783.931,63.0,77.0
PATNA,11557.0,15805.0,2201.0,27082.0,15805.0,70461.794,11631.0,20568.0,11923.0,20276.0,20568.0,71200.529,9.0,9.0
PUNE,81056.0,110268.0,12211.0,179113.0,110268.0,382509.11,144927.0,165799.0,77161.0,224093.0,165799.0,436983.409,19.0,23.0
